NEIGHBORHOOD,ADDRESS, SALE_PRICE ,SALE_DATE
UPPER EAST SIDE (79-96),"925 PARK AVENUE, 9/10C","5,350,000",12/5/2019
UPPER EAST SIDE (59-79),"907 FIFTH AVENUE, 6CS22","6,000,000",12/5/2019
UPPER EAST SIDE (79-96),"1000 PARK AVENUE, 7CD","6,489,250",12/5/2019
UPPER EAST SIDE (59-79),159 EAST 78TH STREET,"7,225,000",12/5/2019
UPPER WEST SIDE (59-79),"50 CENTRAL PARK WEST, 7B","7,500,000",12/5/2019
TRIBECA,"70 VESTRY STREET, 6A","8,955,350",12/5/2019
UPPER EAST SIDE (59-79),807 PARK AVENUE,"24,000,000",12/5/2019
MIDTOWN WEST,"220 CENTRAL PARK SOUTH, PH 73","92,737,628",12/5/2019
MURRAY HILL,"110 MADISON AVENUE, 4B","210,000",12/6/2019
UPPER WEST SIDE (59-79),"116 WEST 72ND STREET, 4B","212,333",12/6/2019
WASHINGTON HEIGHTS UPPER,"900 WEST 190TH STREET, 2S","290,000",12/6/2019
UPPER WEST SIDE (79-96),"131 WEST 85TH STREET, 3B","514,800",12/6/2019
MIDTOWN EAST,"225 EAST 46TH STREET, 2F","517,000",12/6/2019
WASHINGTON HEIGHTS LOWER,"720 WEST 173RD STREET, 22","549,855",12/6/2019
UPPER EAST SIDE (59-79),"18 EAST 63RD STREET, 3","575,000",12/6/2019
MIDTOWN WEST,"150 WEST 51 STREET, 19-25","600,000",12/6/2019
UPPER EAST SIDE (79-96),"340 EAST 93RD STREET, 14F","620,000",12/6/2019
MIDTOWN EAST,"220 EAST 54TH STREET, 8N","652,500",12/6/2019
WASHINGTON HEIGHTS UPPER,"160 WADSWORTH AVENUE, 310","725,000",12/6/2019
MIDTOWN EAST,"2 BEEKMAN PLACE, 9F","775,000",12/6/2019
HARLEM-EAST,"2027 1 AVENUE, 6","800,000",12/6/2019
UPPER WEST SIDE (79-96),"230 RIVERSIDE DRIVE, 12K","890,000",12/6/2019
HARLEM-CENTRAL,"1947 ADAM CLAYTON POWELL JR BLVD, 9","999,000",12/6/2019
UPPER WEST SIDE (59-79),"1991 BROADWAY, 14A","1,220,000",12/6/2019
CHELSEA,"320 WEST 19TH STREET, 1BC","1,225,000",12/6/2019
UPPER EAST SIDE (79-96),"245 EAST 93RD STREET, 24A","1,255,000",12/6/2019
UPPER EAST SIDE (59-79),"315 EAST 68TH STREET, 13CD","1,325,000",12/6/2019
GREENWICH VILLAGE-CENTRAL,"20 EAST 9TH STREET, 24D","1,400,000",12/6/2019
LITTLE ITALY,"75 KENMARE STREET, 3C","1,600,000",12/6/2019
UPPER WEST SIDE (59-79),"180 WEST END AVENUE, 7L","1,635,000",12/6/2019
FINANCIAL,"75 WALL STREET, 22O","1,650,000",12/6/2019
UPPER WEST SIDE (79-96),"320 WEST 90 STREET, 4F","1,725,000",12/6/2019
UPPER WEST SIDE (59-79),"20 WEST 64TH STREET, 27R","1,800,000",12/6/2019
UPPER EAST SIDE (79-96),"360 EAST 88TH STREET, 27D","1,850,000",12/6/2019
JAVITS CENTER,"553 WEST 30TH STREET, 25B","1,949,250",12/6/2019
UPPER WEST SIDE (59-79),"350 W 71ST STREET, 5D","1,950,000",12/6/2019
UPPER WEST SIDE (59-79),"5 RIVERSIDE DRIVE, 8C","1,959,400",12/6/2019
TRIBECA,"21 SOUTH END AVENUE, PH1A","1,970,000",12/6/2019
KIPS BAY,"345 EAST 37TH STREET, 208","2,030,101",12/6/2019
GREENWICH VILLAGE-WEST,"77 8TH AVENUE, 303","2,100,000",12/6/2019
SOHO,"561 BROADWAY, 4C","2,900,000",12/6/2019
UPPER WEST SIDE (59-79),"200 RIVERSIDE BOULEVARD, 6A","2,950,000",12/6/2019
UPPER WEST SIDE (59-79),"200 RIVERSIDE BOULEVARD, 6B","2,950,000",12/6/2019
CHELSEA,"655 AVENUE OF THE AMER, 4E","3,100,000",12/6/2019
SOUTHBRIDGE,"115 NASSAU STREET, 49A","3,350,000",12/6/2019
GREENWICH VILLAGE-CENTRAL,"16 EAST 12TH STREET, 4A","6,200,000",12/6/2019
GREENWICH VILLAGE-CENTRAL,"16 EAST 12TH STREET, 3B","6,200,000",12/6/2019
GREENWICH VILLAGE-CENTRAL,"16 EAST 12TH STREET, 4B","6,200,000",12/6/2019
GREENWICH VILLAGE-CENTRAL,"16 EAST 12TH STREET, 3C","6,200,000",12/6/2019
UPPER EAST SIDE (79-96),"1056 5TH AVENUE, 18CD","6,255,900",12/6/2019
FASHION,"24 WEST 40TH STREET, 5","6,529,280",12/6/2019
GREENWICH VILLAGE-CENTRAL,302 MOTT STREET,"18,000,000",12/6/2019
FASHION,429 7 AVENUE,"35,000,000",12/6/2019
MIDTOWN WEST,"220 CENTRAL PARK SOUTH, 59A","36,051,141",12/6/2019
CHELSEA,516 WEST 25TH STREET,"72,125,000",12/6/2019
UPPER EAST SIDE (59-79),"300 EAST 64TH STREET, 6F","131,968",12/9/2019
HARLEM-EAST,"129 EAST 102ND STREET, 4A","165,000",12/9/2019
MIDTOWN WEST,"100 WEST 57TH STREET, 10K","185,000",12/9/2019
MIDTOWN EAST,"25 TUDOR CITY PLACE, 517","300,000",12/9/2019
UPPER EAST SIDE (59-79),"225 EAST 73RD ST, 1C","355,000",12/9/2019
GREENWICH VILLAGE-CENTRAL,"24 FIFTH AVENUE, 1027","439,000",12/9/2019
UPPER EAST SIDE (59-79),"1420 YORK AVENUE, 5H","475,000",12/9/2019
MURRAY HILL,"222 EAST 35, 2B","479,000",12/9/2019
TRIBECA,"2 SOUTH END AVENUE, 7O","505,000",12/9/2019
MURRAY HILL,"140 EAST 40TH STREET, 3D","535,000",12/9/2019
UPPER EAST SIDE (59-79),"301 EAST 75TH STREET, 3C","569,000",12/9/2019
WASHINGTON HEIGHTS UPPER,"804 WEST 180TH STREET, 33","570,000",12/9/2019
UPPER EAST SIDE (59-79),"404 E 76TH ST, 2P","608,000",12/9/2019
MIDTOWN EAST,"333 EAST 53RD STREET, 7A","650,000",12/9/2019
MURRAY HILL,"20 EAST 35TH STREET, COM-B","680,000",12/9/2019
ALPHABET CITY,"317 EAST 3RD STREET, B","690,000",12/9/2019
WASHINGTON HEIGHTS UPPER,"116 PINEHURST AVENUE, J11","725,000",12/9/2019
UPPER WEST SIDE (59-79),"1 CENTRAL PARK WEST, 524","833,000",12/9/2019
UPPER WEST SIDE (79-96),"316 WEST 82ND STREET, 3F","894,000",12/9/2019
UPPER WEST SIDE (59-79),"215 WEST 75TH STREET, 7F","925,000",12/9/2019
GREENWICH VILLAGE-WEST,"125 BARROW STREET, 3B","955,000",12/9/2019
CIVIC CENTER,"91 LEONARD STREET, 14C","996,052",12/9/2019
HARLEM-WEST,"52 CONVENT AVENUE, 3A","1,057,563",12/9/2019
UPPER EAST SIDE (59-79),"207 EAST 74TH STREET, 7F","1,058,000",12/9/2019
UPPER WEST SIDE (96-116),"310 RIVERSIDE DRIVE, 912","1,140,000",12/9/2019
UPPER EAST SIDE (79-96),"300 EAST 93RD STREET, 16B","1,150,000",12/9/2019
KIPS BAY,"300 EAST 23RD STREET, 4A","1,211,002",12/9/2019
GREENWICH VILLAGE-CENTRAL,"60 EAST 8TH STREET, 9M","1,313,000",12/9/2019
UPPER EAST SIDE (59-79),"315 EAST 72ND STREET, 5L","1,330,000",12/9/2019
MANHATTAN VALLEY,"372 CENTRAL PARK WEST, 20W","1,367,000",12/9/2019
UPPER WEST SIDE (79-96),"150 WEST 95TH STREET, 7C","1,395,000",12/9/2019
UPPER EAST SIDE (79-96),"170 EAST 87TH STREET, W14H","1,474,000",12/9/2019
MIDTOWN EAST,"245 EAST 54TH STREET, 6LM","1,700,000",12/9/2019
UPPER EAST SIDE (79-96),"1080 MADISON AVENUE, 14A","1,825,000",12/9/2019
UPPER EAST SIDE (59-79),"30 EAST 65TH STREET, 9C","1,900,000",12/9/2019
UPPER EAST SIDE (79-96),"969 PARK AVENUE, 2D","1,975,000",12/9/2019
UPPER WEST SIDE (79-96),"215 WEST 90TH STREET, 11-D","2,087,413",12/9/2019
UPPER WEST SIDE (59-79),"80 RIVERSIDE BLVD, 16E","2,132,500",12/9/2019
UPPER EAST SIDE (79-96),"115 EAST 87TH STREET, 37D","2,195,000",12/9/2019
CHINATOWN,"101 LEONARD STREET, 6D","2,287,500",12/9/2019
UPPER WEST SIDE (79-96),"137 RIVERSIDE DRIVE, 11B","2,500,000",12/9/2019
FINANCIAL,"59 JOHN STREET, 11C","2,540,000",12/9/2019
MIDTOWN CBD,"100 EAST 53RD STREET, 9B","3,500,000",12/9/2019
UPPER EAST SIDE (59-79),"875 FIFTH AVENUE, 12A","3,500,000",12/9/2019
MIDTOWN CBD,"100 EAST 53RD STREET, 30A","3,881,600",12/9/2019
CIVIC CENTER,"91 LEONARD STREET, 16E","4,503,200",12/9/2019
CIVIC CENTER,"91 LEONARD STREET, SU49","4,503,200",12/9/2019
UPPER WEST SIDE (79-96),"353 CENTRAL PARK WEST, 3","4,600,000",12/9/2019
MIDTOWN CBD,"432 PARK AVENUE, 65A","23,980,000",12/9/2019
MIDTOWN WEST,135 WEST 50TH STREET,"285,000,000",12/9/2019
CHELSEA,"177 NINTH AVE, SU15","42,000",12/10/2019
INWOOD,"70 PARK TERRACE EAST, 1G","249,000",12/10/2019
UPPER EAST SIDE (79-96),"203 EAST 89, 3B","317,500",12/10/2019
MIDTOWN EAST,"333 EAST 43RD STREET, 720","510,000",12/10/2019
TRIBECA,"2 SOUTH END AVE, 7T","539,000",12/10/2019
HARLEM-WEST,"504 WEST 136TH STREET, 2E","577,000",12/10/2019
HARLEM-WEST,"504 WEST 136 STREET, 3A","585,000",12/10/2019
GREENWICH VILLAGE-CENTRAL,"23 WAVERLY PLACE, 2G","595,000",12/10/2019
MURRAY HILL,"30 EAST 37TH STREET, 8D","599,000",12/10/2019
HARLEM-EAST,"333 EAST 119TH STREET, 1A","600,000",12/10/2019
CHELSEA,"334 WEST 17TH STREET, 5R","630,000",12/10/2019
SOHO,"149 SULLIVAN ST, 3C","655,000",12/10/2019
GREENWICH VILLAGE-CENTRAL,"211 THOMPSON STREET, 4P","675,000",12/10/2019
HARLEM-CENTRAL,"2351 ADAM CLAYTON POWELL, 310","749,432",12/10/2019
FLATIRON,"7 EAST 14TH STREET, 915","790,000",12/10/2019
UPPER EAST SIDE (79-96),"35 EAST 85TH ST, 3BN","812,500",12/10/2019
UPPER EAST SIDE (79-96),"222 EAST 82ND STREET, 4E","920,000",12/10/2019
UPPER EAST SIDE (59-79),"174 EAST 74TH STREET, 10D","980,000",12/10/2019
ALPHABET CITY,"533 EAST 6TH STREET, 2","1,085,000",12/10/2019
LOWER EAST SIDE,"250 SOUTH STREET, 15K","1,225,686",12/10/2019
GRAMERCY,"1 IRVING PLACE, G21A","1,295,000",12/10/2019
MIDTOWN EAST,"400 EAST 56TH STREET, 5B","1,395,000",12/10/2019
UPPER EAST SIDE (59-79),"404 EAST 66TH STREET, 6E","1,400,000",12/10/2019
UPPER EAST SIDE (59-79),"330 EAST 75TH STREET, GAR","1,750,000",12/10/2019
UPPER EAST SIDE (79-96),"124 EAST 84TH STREET, 4/5C","1,995,000",12/10/2019
UPPER EAST SIDE (79-96),"75 EAST END AVENUE, 16G","2,095,000",12/10/2019
CHELSEA,"252 7 AVENUE, 17E","2,315,000",12/10/2019
SOHO,"70 CHARLTON STREET, 8C","2,407,070",12/10/2019
LOWER EAST SIDE,"250 SOUTH STREET, 50K","2,490,356",12/10/2019
UPPER WEST SIDE (79-96),"145 WEST 86TH ST, 9A","2,600,000",12/10/2019
ALPHABET CITY,"253 EAST 7TH STREET, 8","3,000,000",12/10/2019
CHELSEA,"252 7 AVENUE, 16G","3,200,000",12/10/2019
CHELSEA,"246 WEST 17TH STREET, PHB","4,400,000",12/10/2019
CHELSEA,"177 NINTH AVENUE, PHF","4,400,000",12/10/2019
UPPER EAST SIDE (79-96),422 EAST 81ST STREET,"6,250,000",12/10/2019
GREENWICH VILLAGE-WEST,"90 MORTON STREET, 5D","6,400,000",12/10/2019
UPPER EAST SIDE (59-79),1341 2 AVENUE,"7,200,000",12/10/2019
JAVITS CENTER,"553 WEST 30TH STREET, PH81D","8,379,750",12/10/2019
UPPER WEST SIDE (59-79),"1 WEST 67TH STREET, 1026","13,600,000",12/10/2019
UPPER WEST SIDE (59-79),"1 WEST 67TH STREET, 901","13,600,000",12/10/2019
UPPER WEST SIDE (59-79),"1 WEST 67TH STREET, 1005","13,600,000",12/10/2019
UPPER WEST SIDE (59-79),"1 WEST 67TH STREET, 1022","13,600,000",12/10/2019
UPPER WEST SIDE (59-79),"1 WEST 67TH STREET, 905","13,600,000",12/10/2019
MIDTOWN WEST,"220 CENTRAL PARK SOUTH, 56B","28,001,875",12/10/2019
FASHION,427 7 AVENUE,"30,000,000",12/10/2019
UPPER EAST SIDE (59-79),"400 EAST 67TH STREET, SU12","47,000",12/11/2019
UPPER EAST SIDE (59-79),"400 EAST 67TH STREET, SU41","48,000",12/11/2019
WASHINGTON HEIGHTS UPPER,"804 WEST 180TH STREET, 7","180,000",12/11/2019
UPPER WEST SIDE (96-116),"235 WEST 102ND STREET, 14Q","355,000",12/11/2019
WASHINGTON HEIGHTS UPPER,"100 OVERLOOK TERRACE, 75","390,266",12/11/2019
GRAMERCY,"105 EAST 15TH STREET, 78","395,000",12/11/2019
UPPER EAST SIDE (59-79),"353 EAST 72ND STREET, 6A","520,000",12/11/2019
HARLEM-CENTRAL,"70 WEST 139 STREET, 6E","533,786",12/11/2019
MURRAY HILL,"234 EAST 35TH STREET, 2R","599,000",12/11/2019
GREENWICH VILLAGE-WEST,"149 WEST 12TH STREET, 66","620,000",12/11/2019
UPPER EAST SIDE (79-96),"302 EAST 88TH STREET, 3G","620,000",12/11/2019
UPPER EAST SIDE (79-96),"345 EAST 93RD STREET, 20D","620,000",12/11/2019
UPPER EAST SIDE (79-96),"340 EAST 80TH STREET, 21J","650,000",12/11/2019
UPPER EAST SIDE (96-110),"1215 FIFTH AVENUE, 14D","650,000",12/11/2019
HARLEM-CENTRAL,"2351 ADAM CLAYTON POWELL, 608","791,689",12/11/2019
UPPER EAST SIDE (59-79),"233 EAST 69TH STREET, 16K","800,000",12/11/2019
FINANCIAL,"99 JOHN STREET, 419","850,000",12/11/2019
UPPER EAST SIDE (79-96),"345 EAST 93RD STREET, 20C","855,000",12/11/2019
UPPER WEST SIDE (59-79),"140 WEST END AVENUE, 19B","895,000",12/11/2019
TRIBECA,"275 GREENWICH STREET, 4DS","930,000",12/11/2019
UPPER WEST SIDE (96-116),"235 WEST 102ND STREET, 5N","950,000",12/11/2019
FLATIRON,"16 WEST 16TH STREET, 11AN","975,000",12/11/2019
UPPER EAST SIDE (59-79),"400 EAST 70TH STREET, 1601","999,000",12/11/2019
FASHION,"348 WEST 36TH STREET, 3N","1,075,000",12/11/2019
KIPS BAY,"630 1ST AVENUE, 6K","1,100,000",12/11/2019
MIDTOWN EAST,"45 SUTTON PLACE SOUTH, 6D","1,175,000",12/11/2019
UPPER EAST SIDE (59-79),"201 EAST 62ND STREET, 7C","1,210,000",12/11/2019
MIDTOWN EAST,"424 EAST 52ND STREET, 5C","1,235,000",12/11/2019
FASHION,"1182 BROADWAY, 11D","1,425,548",12/11/2019
MIDTOWN EAST,"339 EAST 58TH STREET, PH AB","1,525,000",12/11/2019
UPPER WEST SIDE (96-116),"2628 BROADWAY, 6A","1,525,000",12/11/2019
UPPER EAST SIDE (59-79),"200 EAST 62ND, 17C","1,900,000",12/11/2019
GREENWICH VILLAGE-CENTRAL,"15 WEST 11TH STREET, 9B","1,950,000",12/11/2019
GREENWICH VILLAGE-CENTRAL,"61 WEST 9 ST, 4A","1,995,000",12/11/2019
UPPER WEST SIDE (59-79),"277 WEST END AVE., 11D","2,300,000",12/11/2019
EAST VILLAGE,"211 EAST 13TH STREET, 5H","2,370,000",12/11/2019
UPPER WEST SIDE (59-79),"200 WEST END AVENUE, 3A","2,400,000",12/11/2019
MIDTOWN WEST,"100 WEST 58TH STREET, 13A","2,430,000",12/11/2019
MIDTOWN WEST,"100 WEST 58TH STREET, 13B","2,430,000",12/11/2019
UPPER WEST SIDE (96-116),"285 RIVERSIDE DRIVE, 8A","2,875,000",12/11/2019
UPPER WEST SIDE (59-79),"1965 BROADWAY, 23H","2,990,000",12/11/2019
UPPER WEST SIDE (59-79),"101 WEST 67TH STREET, 47-C","3,700,000",12/11/2019
TRIBECA,"111 MURRAY STREET, 12W","4,450,000",12/11/2019
TRIBECA,"111 MURRAY STREET, 14W","4,500,000",12/11/2019
CHELSEA,"263 9 AVENUE, PHC","4,820,000",12/11/2019
CHELSEA,"263 9 AVENUE, STG3","4,820,000",12/11/2019
HARLEM-UPPER,454 CONVENT AVENUE,"7,600,000",12/11/2019
UPPER EAST SIDE (79-96),207 EAST 94TH STREET,"28,500,000",12/11/2019
UPPER EAST SIDE (79-96),50 EAST 86TH STREET,"71,000,000",12/11/2019
UPPER EAST SIDE (79-96),48 EAST 86TH STREET,"71,000,000",12/11/2019
ALPHABET CITY,"348 EAST 10 STREET, 4A","250,000",12/12/2019
UPPER EAST SIDE (79-96),"313 EAST 84TH STREET, 3C","275,000",12/12/2019
MIDTOWN EAST,"303 EAST 57TH STREET, 11K","350,000",12/12/2019
MURRAY HILL,"126 EAST 30TH STREET, 3C","362,000",12/12/2019
UPPER WEST SIDE (96-116),"235 WEST 102ND STREET, 14EE","365,000",12/12/2019
UPPER EAST SIDE (59-79),"328 EAST 73RD STREET, 2C","415,000",12/12/2019
UPPER EAST SIDE (79-96),"120 EAST 87TH STREET, P14-F","480,000",12/12/2019
UPPER EAST SIDE (59-79),"343 EAST 74TH STREET, 14F","488,250",12/12/2019
MIDTOWN EAST,"400 EAST 59TH STREET, 10G","490,000",12/12/2019
UPPER EAST SIDE (59-79),"311 EAST 75TH STREET, 6K","525,000",12/12/2019
MIDTOWN EAST,"45 TUDOR CITY PLACE, 1618","570,000",12/12/2019
ALPHABET CITY,"262 EAST 7TH STREET, 4","600,000",12/12/2019
UPPER EAST SIDE (79-96),"10 EAST END AVENUE, 16E","625,000",12/12/2019
GREENWICH VILLAGE-CENTRAL,"50 EAST 8TH STREET, 5N","630,000",12/12/2019
GRAMERCY,"142 EAST 16TH STREET, 11G","650,000",12/12/2019
MURRAY HILL,"155 EAST 38TH STREET, 9A","650,000",12/12/2019
UPPER EAST SIDE (59-79),"402 EAST 74TH STREET, 4G","685,000",12/12/2019
MORNINGSIDE HEIGHTS,"3117 BROADWAY, 24","690,000",12/12/2019
HARLEM-EAST,"1787 MADISON AVENUE, 608","695,000",12/12/2019
HARLEM-EAST,"207-209 EAST 120TH STREET, PH","730,000",12/12/2019
MURRAY HILL,"50 PARK AVENUE, 14A","736,300",12/12/2019
UPPER WEST SIDE (59-79),"80 CENTRAL PARK WEST, 20D","750,000",12/12/2019
HARLEM-CENTRAL,"2351 ADAM CLAYTON POWELL, 308","765,000",12/12/2019
UPPER WEST SIDE (59-79),"2109 BROADWAY, 12-14","775,000",12/12/2019
UPPER WEST SIDE (96-116),"606 WEST 113TH STREET, 4C","782,000",12/12/2019
HARLEM-CENTRAL,"2351 ADAM CLAYTON POWELL, 606","794,235",12/12/2019
UPPER WEST SIDE (59-79),"304 WEST 75TH STREET, 14A","800,000",12/12/2019
UPPER EAST SIDE (79-96),"161-167 EAST 91ST STREET, 4E","814,610",12/12/2019
GRAMERCY,"200 EAST 27TH STREET, 5K","815,000",12/12/2019
UPPER WEST SIDE (59-79),"155 WEST 70TH STREET, PH4D","845,000",12/12/2019
HARLEM-CENTRAL,"117 WEST 123RD STREET, 2B","849,000",12/12/2019
MIDTOWN WEST,"150 WEST 51ST STREET, 16-23","850,000",12/12/2019
MIDTOWN WEST,"350 WEST 42ND STREET, 14M","890,000",12/12/2019
MIDTOWN EAST,"349 EAST 49TH STREET, 5S","915,000",12/12/2019
MIDTOWN EAST,"14 SUTTON PLACE SOUTH, 9E","975,000",12/12/2019
UPPER WEST SIDE (79-96),"317 WEST 89TH STREET, 1ER","975,000",12/12/2019
FLATIRON,"254 PARK AVENUE SOUTH, 3H","980,000",12/12/2019
UPPER EAST SIDE (59-79),"175 EAST 74TH STREET, 15E","995,000",12/12/2019
GREENWICH VILLAGE-CENTRAL,"11 5 AVENUE, 2S","1,175,000",12/12/2019
HARLEM-CENTRAL,"2351 ADAM CLAYTON POWELL, 802/P","1,181,170",12/12/2019
CLINTON,"462 WEST 58 STREET, 4E","1,200,000",12/12/2019
UPPER EAST SIDE (59-79),"20 EAST 68TH STREET, 10F","1,225,000",12/12/2019
KIPS BAY,"312 EAST 23RD STREET, 2A","1,262,500",12/12/2019
UPPER EAST SIDE (59-79),"399 EAST 72ND STREET, 11E","1,270,000",12/12/2019
GREENWICH VILLAGE-CENTRAL,"2 FIFTH AVENUE, 5-O","1,410,000",12/12/2019
EAST VILLAGE,"416 EAST 11TH STREET, 3A","1,499,000",12/12/2019
UPPER WEST SIDE (79-96),"51 WEST 81ST STREET, 12CD","1,510,000",12/12/2019
CIVIC CENTER,"108 LEONARD STREET, 4D","1,568,584",12/12/2019
UPPER WEST SIDE (96-116),"2628 BROADWAY, 3A","1,570,000",12/12/2019
GRAMERCY,"200 EAST 21ST STREET, 9B","1,670,250",12/12/2019
UPPER EAST SIDE (79-96),"345 EAST 81ST STREET, 5HJ","1,725,000",12/12/2019
UPPER EAST SIDE (79-96),"11 EAST 86TH STREET, 15B","1,735,000",12/12/2019
MIDTOWN EAST,"870 UNITED NATIONS PLAZA, 17E","1,865,000",12/12/2019
UPPER WEST SIDE (96-116),"305 WEST 98TH STREET, 1FN","2,100,000",12/12/2019
LOWER EAST SIDE,"250 SOUTH STREET, 43K","2,468,674",12/12/2019
SOHO,"330 SPRING STREET, 2C","2,567,000",12/12/2019
GRAMERCY,"200 EAST 21ST STREET, 9A","2,700,250",12/12/2019
MURRAY HILL,"11 EAST 29TH STREET, 38A","2,750,000",12/12/2019
MIDTOWN CBD,"100 EAST 53RD STREET, 33B","2,787,664",12/12/2019
MIDTOWN EAST,"430 EAST 56TH STREET, 1AB","2,800,000",12/12/2019
CHELSEA,"252 7 AVENUE, PH-J","3,160,000",12/12/2019
MIDTOWN EAST,"333 EAST 57TH STREET, 8A","3,250,000",12/12/2019
CHELSEA,"550 WEST 29TH STREET, 2A","3,800,000",12/12/2019
LOWER EAST SIDE,155 RIVINGTON STREET,"4,750,000",12/12/2019
TRIBECA,"335 GREENWICH ST, 4B","4,750,000",12/12/2019
UPPER EAST SIDE (79-96),"360 EAST 89TH STREET, 32B","4,950,000",12/12/2019
LOWER EAST SIDE,116 SUFFOLK STREET,"5,500,000",12/12/2019
MURRAY HILL,148 EAST 40TH STREET,"5,750,000",12/12/2019
MIDTOWN WEST,"80 COLUMBUS CIRCLE, NT65A","6,050,000",12/12/2019
JAVITS CENTER,"15 HUDSON YARDS, PH82D","7,503,750",12/12/2019
JAVITS CENTER,"15 HUDSON YARDS, PH82A","13,241,499",12/12/2019
GREENWICH VILLAGE-WEST,39 CLARKSON STREET,"27,250,000",12/12/2019
MIDTOWN CBD,131-141 EAST 47TH STREET,"115,000,000",12/12/2019
MIDTOWN EAST,"439 EAST 51ST STREET, MR3","100,001",12/13/2019
GREENWICH VILLAGE-CENTRAL,"173 BLEECKER STREET, R","191,255",12/13/2019
HARLEM-CENTRAL,"128 WEST 138TH STREET, 5I","299,000",12/13/2019
UPPER EAST SIDE (59-79),"205 EAST 78TH STREET, 14G","370,000",12/13/2019
HARLEM-CENTRAL,"226 WEST 113TH STREET, 6","375,000",12/13/2019
ALPHABET CITY,"206 EAST 7TH STREET, 2","396,000",12/13/2019
GREENWICH VILLAGE-WEST,"270 WEST 11TH ST, 1D","415,800",12/13/2019
UPPER WEST SIDE (59-79),"200 WEST 79TH STREET, 5A","420,000",12/13/2019
WASHINGTON HEIGHTS LOWER,"156-08 RIVERSIDE DRIVE WEST, 2K","440,000",12/13/2019
UPPER EAST SIDE (79-96),"150 EAST 86TH STREET, 8K","547,000",12/13/2019
CHELSEA,"252 WEST 20TH STREET, 4A","565,000",12/13/2019
WASHINGTON HEIGHTS UPPER,"875 WEST 181ST STREET, 3L","585,000",12/13/2019
UPPER EAST SIDE (59-79),"230 EAST 71ST STREET, 4G","605,000",12/13/2019
MIDTOWN EAST,"211 EAST 53 STREET, 3A","647,500",12/13/2019
UPPER EAST SIDE (59-79),"115 EAST 67TH STREET, 1E","700,000",12/13/2019
GREENWICH VILLAGE-WEST,"222 WEST 14TH STREET, 10D","707,500",12/13/2019
MIDTOWN EAST,"60 SUTTON PLACE SOUTH, 6MN","750,000",12/13/2019
UPPER EAST SIDE (59-79),"515 EAST 72ND STREET, 14J","845,000",12/13/2019
FINANCIAL,"15 BROAD STREET, 1528","880,000",12/13/2019
UPPER EAST SIDE (59-79),"188 EAST 70TH STREET, 6E","920,000",12/13/2019
FASHION,"100 WEST 39TH STREET, 36H","999,000",12/13/2019
MIDTOWN EAST,"16 SUTTON PLACE, 5C","1,100,000",12/13/2019
MIDTOWN WEST,"333 WEST 56TH STREET, 10 C","1,108,000",12/13/2019
HARLEM-CENTRAL,"2351 ADAM CLAYTON POWELL, 807/P","1,121,807",12/13/2019
UPPER WEST SIDE (79-96),"123 WEST 93 STREET, 1F","1,190,000",12/13/2019
UPPER EAST SIDE (59-79),"345 EAST 73RD STREET, 4H","1,310,000",12/13/2019
HARLEM-CENTRAL,"2351 ADAM CLAYTON POWELL, 706/P","1,528,089",12/13/2019
TRIBECA,"90 HUDSON STREET, 6A","1,615,000",12/13/2019
SOHO,"570 BROOME STREET, 3A","1,925,000",12/13/2019
CHELSEA,"252 SEVENTH AVENUE, 12T","1,950,000",12/13/2019
UPPER EAST SIDE (79-96),"389 EAST 89TH STREET, 29C","1,978,138",12/13/2019
MIDTOWN EAST,"250 EAST 54TH STREET, 27D","2,175,000",12/13/2019
UPPER EAST SIDE (59-79),"880 FIFTH AVENUE, 2E","2,190,000",12/13/2019
UPPER WEST SIDE (79-96),"251 WEST 89TH STREET, 9E","2,315,000",12/13/2019
FLATIRON,"7 EAST 14TH STREET, PH-C","2,375,000",12/13/2019
TRIBECA,"333 RECTOR PLACE, 1408","2,700,000",12/13/2019
GREENWICH VILLAGE-CENTRAL,"28 EAST 10TH STREET, 11D","2,740,000",12/13/2019
GREENWICH VILLAGE-CENTRAL,"712 BROADWAY, 5","2,850,000",12/13/2019
UPPER WEST SIDE (59-79),"350 W 71ST STREET, 3E","3,164,325",12/13/2019
UPPER EAST SIDE (96-110),"1150 FIFTH AVENUE, 8C","3,350,000",12/13/2019
LITTLE ITALY,"225 LAFAYETTE STREET, 10B","3,800,000",12/13/2019
MIDTOWN WEST,"220 CENTRAL PARK SOUTH, 20A","3,818,438",12/13/2019
GRAMERCY,"200 EAST 21ST STREET, 20A","4,145,255",12/13/2019
ALPHABET CITY,"101 AVENUE D, B-1","5,100,000",12/13/2019
UPPER WEST SIDE (79-96),"100 RIVERSIDE DRIVE, 17AB","5,800,000",12/13/2019
EAST VILLAGE,"438 EAST 12TH STREET, PHG","5,850,000",12/13/2019
JAVITS CENTER,"553 WEST 30TH STREET, PH86D","8,480,750",12/13/2019
FASHION,"20 WEST 33RD STREET, 2008","9,289,821",12/13/2019
MIDTOWN WEST,"220 CENTRAL PARK SOUTH, 48A","59,058,500",12/13/2019
ALPHABET CITY,"155 AVENUE C, 5A","84,413",12/16/2019
HARLEM-EAST,"123-125 EAST 102 STREET, 1C","245,000",12/16/2019
UPPER EAST SIDE (79-96),"531 EAST 87TH STREET, 5B","288,000",12/16/2019
UPPER EAST SIDE (59-79),"205 EAST 78TH ST, 7E","395,000",12/16/2019
